Gene	ModuleColor	kWithin	ModuleName
G2E3	blue	38.0132096732817	AUD3
GABPB1	blue	18.8516547079535	AUD3
GADD45GIP1	blue	13.6749642744683	AUD3
GAR1	blue	20.1657549594968	AUD3
GARS	blue	8.80142481553211	AUD3
GART	blue	48.6434599775824	AUD3
GATB	blue	19.1846085146816	AUD3
GEMIN5	blue	75.3141233205931	AUD3
GGCT	blue	16.5107221119331	AUD3
GINS2	blue	60.0276046211614	AUD3
GLO1	blue	34.0129713481134	AUD3
GLRX3	blue	46.5546660134774	AUD3
GMPPB	blue	58.8940714611103	AUD3
GNAI3	blue	61.9596499778862	AUD3
GOT2	blue	32.9175297072133	AUD3
GPN1	blue	59.8274871606626	AUD3
GPSM2	blue	22.3959552064775	AUD3
GSPT1	blue	72.8213143325791	AUD3
GSTCD	blue	48.2356775910624	AUD3
GTF2A2	blue	49.6883783952737	AUD3
GTF2F1	blue	3.1853041065664	AUD3
GTF2H3	blue	29.4276994968633	AUD3
GTF3A	blue	38.747877968506	AUD3
GTF3C2	blue	24.7478174633436	AUD3
GTF3C6	blue	21.382611901377	AUD3
H2AFV	blue	18.1722246668455	AUD3
HACD2	blue	41.6619490882056	AUD3
HARS	blue	53.8573316406768	AUD3
HAUS1	blue	27.3602419290136	AUD3
HBS1L	blue	37.7097636760811	AUD3
HDAC2	blue	48.7513393437256	AUD3
HGH1	blue	39.4238510404705	AUD3
HIGD1A	blue	23.6490469816324	AUD3
HMGB3	blue	30.4060721958159	AUD3
HNRNPC	blue	10.2570441370165	AUD3
HNRNPK	blue	29.62529297496	AUD3
HNRNPUL1	blue	27.4684220459354	AUD3
HPF1	blue	17.4699076040563	AUD3
HPRT1	blue	21.5441589916319	AUD3
HSD17B10	blue	57.4278860297537	AUD3
HSP90AA1	blue	50.7249964813825	AUD3
HSPA14	blue	19.464060749285	AUD3
HSPD1	blue	84.7402886107521	AUD3
HSPE1	blue	39.1270473536696	AUD3
HSPH1	blue	41.9316226981775	AUD3
IARS	blue	32.3198570254674	AUD3
ILF2	blue	86.3955608701388	AUD3
IMMT	blue	21.957944585814	AUD3
IMPDH2	blue	25.9798540921278	AUD3
INTS12	blue	6.14567900739816	AUD3
INTS9	blue	16.9845318534724	AUD3
IPO11	blue	26.489281959893	AUD3
IQCB1	blue	8.2989334023303	AUD3
IRAK1	blue	9.82457992191279	AUD3
ISG20L2	blue	38.930463674875	AUD3
JPT1	blue	70.0783878377327	AUD3
KARS	blue	67.237438681295	AUD3
KCTD5	blue	15.2315102899386	AUD3
KHDRBS1	blue	41.6846253159079	AUD3
KIF1BP	blue	30.9358874300798	AUD3
KMT5A	blue	24.9188355968613	AUD3
KPNA3	blue	42.4880607646843	AUD3
LARP1	blue	13.2705186294003	AUD3
LDHA	blue	34.6647421725926	AUD3
LETM1	blue	32.0769001851644	AUD3
LIG3	blue	33.5044615710214	AUD3
LMNB2	blue	73.2139268656724	AUD3
LRPPRC	blue	32.0516210511697	AUD3
LRRC40	blue	33.0852445616407	AUD3
LRRC59	blue	91.6500195672991	AUD3
LSM2	blue	46.7991738191149	AUD3
LSM4	blue	27.1804732243362	AUD3
LSM5	blue	16.0188322890556	AUD3
MAD2L1BP	blue	5.75798275378682	AUD3
MAGOH	blue	36.5552929212411	AUD3
MAGOHB	blue	30.7057449783796	AUD3
MAIP1	blue	18.3249896253257	AUD3
MAK16	blue	40.2714350664719	AUD3
MAP3K4	blue	5.38174546508947	AUD3
MAPRE1	blue	68.1857213190888	AUD3
MARS	blue	34.8193591268386	AUD3
MCMBP	blue	46.9663808484706	AUD3
MCRS1	blue	10.7789555937221	AUD3
ME2	blue	46.7831655957447	AUD3
MED22	blue	20.7189176581046	AUD3
MED8	blue	23.7507382929931	AUD3
METAP1	blue	16.9881960907442	AUD3
METTL2A	blue	37.5207688070698	AUD3
MICU2	blue	3.39987719906685	AUD3
MIPEP	blue	8.28761454547137	AUD3
MIS12	blue	6.38385206580666	AUD3
MIS18A	blue	52.4482165068227	AUD3
MLX	blue	6.9803981768401	AUD3
MPHOSPH6	blue	21.9321202017679	AUD3
MRPL1	blue	56.572889077904	AUD3
MRPL12	blue	13.9693573651154	AUD3
MRPL15	blue	44.8857192803941	AUD3
MRPL17	blue	25.6703467036042	AUD3
MRPL20	blue	39.6048785377189	AUD3
MRPL3	blue	60.4614698201872	AUD3
MRPL35	blue	64.1367343820182	AUD3
MRPL37	blue	54.693720964003	AUD3
MRPL51	blue	33.4959679654905	AUD3
MRPL52	blue	36.7394802726697	AUD3
MRPL55	blue	9.21618862677927	AUD3
MRPL58	blue	16.3255176897353	AUD3
MRPL9	blue	33.9302896962594	AUD3
MRPS11	blue	21.3926638037297	AUD3
MRPS12	blue	30.8502149384195	AUD3
MRPS22	blue	36.4350318101121	AUD3
MRPS23	blue	42.1892252323399	AUD3
MTAP	blue	48.4877901777478	AUD3
MTCH2	blue	40.1631959438158	AUD3
MTDH	blue	40.0045392904185	AUD3
MTERF3	blue	42.8291288063677	AUD3
MTO1	blue	2.18795700415846	AUD3
MTRF1L	blue	23.8371463757896	AUD3
MZT1	blue	33.5999716236311	AUD3
NAA10	blue	2.79344205236698	AUD3
NAA20	blue	47.6596887577496	AUD3
NAA50	blue	33.6700992674587	AUD3
NABP2	blue	45.6371701112723	AUD3
NAF1	blue	15.7351429542466	AUD3
NAP1L4	blue	60.8776813195347	AUD3
NARS	blue	30.1301969195703	AUD3
NCBP1	blue	73.424914718713	AUD3
NDUFAB1	blue	35.0108657856161	AUD3
NDUFAF4	blue	7.85406990185476	AUD3
NEDD1	blue	22.4130568315579	AUD3
NFU1	blue	7.28688511274494	AUD3
NGLY1	blue	19.5802867320247	AUD3
NHP2	blue	42.3944565080203	AUD3
NIF3L1	blue	35.5603468849768	AUD3
NIFK	blue	74.0988006481314	AUD3
NLE1	blue	49.5561636101651	AUD3
NLN	blue	34.9393272816663	AUD3
NME1	blue	55.5789224138071	AUD3
NMT1	blue	34.8441452741702	AUD3
NOL11	blue	68.0727714780828	AUD3
NONO	blue	46.5781106270123	AUD3
NOP9	blue	39.289937564633	AUD3
